bb,tag,ptb,sim,deg,ood,valid_seeds,num_seeds,complete,has_nan,has_traceback,mean,std,trim_mean_without_min,trim_std_without_min,reported_mean_without_min,reported_std_without_min,pollution_added_edges,pollution_deleted_edges,pollution_clean_edges,pollution_attack_edges,filter_module_f1,filter_module_auc,filter_module_ap,gppt_filter_f1,gppt_filter_auc,gppt_filter_ap,tau_tune_f1,tau_tune_auc,tau_tune_ap,out_detect_pt_edges_f1,out_detect_pt_edges_auc,out_detect_pt_edges_ap,sim_pt_node_f1,sim_pt_edge_f1,sim_pt_edge_auc,degree_pt_node_f1,degree_pt_edge_f1,degree_pt_edge_auc,out_detect_pt_node_f1,out_detect_pt_edge_f1,out_detect_pt_edge_auc,seed1,seed2,seed3,seed4,seed5,file
peak,all3,0.25,0.3,1,0.5,5,5,True,False,False,0.0939,0.0091,0.0969,0.0078,0.0969,0.0078,1507.0000,151.0000,5278.0000,6634.0000,0.3728,0.8397,0.5848,,,,0.0686,0.6639,0.3518,0.3730,0.8397,0.5848,0.3676,0.4400,0.6261,0.0000,0.0000,0.5000,0.5224,0.3702,0.5000,0.0843,0.0984,0.0988,0.0822,0.1059,logs/combo_filters_midmetrics/peak_all3_sim0.3_deg1_ood0.5_ptb0.25.log
peak,deg_ood,0.25,-1.0,1,0.5,5,5,True,False,False,0.0567,0.0179,0.0617,0.0167,0.0617,0.0167,1507.0000,151.0000,5278.0000,6634.0000,0.3728,0.8397,0.5848,,,,0.0465,0.6826,0.3911,0.3730,0.8397,0.5848,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.5224,0.3702,0.5000,0.0507,0.0702,0.0370,0.0843,0.0415,logs/combo_filters_midmetrics/peak_deg_ood_sim-1.0_deg1_ood0.5_ptb0.25.log
peak,sim_deg,0.25,0.3,1,-1.0,5,5,True,False,False,0.0960,0.0105,0.1005,0.0062,0.1005,0.0062,1507.0000,151.0000,5278.0000,6634.0000,0.3728,0.8397,0.5848,,,,0.1676,0.6698,0.3463,0.0000,0.8397,0.5848,0.3676,0.4400,0.6261,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.0922,0.1096,0.0781,0.0997,0.1005,logs/combo_filters_midmetrics/peak_sim_deg_sim0.3_deg1_ood-1.0_ptb0.25.log
peak,sim_ood,0.25,0.3,-1,0.5,5,5,True,False,False,0.0889,0.0175,0.0953,0.0133,0.0953,0.0133,1507.0000,151.0000,5278.0000,6634.0000,0.3728,0.8397,0.5848,,,,0.1089,0.6600,0.3506,0.3730,0.8397,0.5848,0.3676,0.4400,0.6261,0.0000,0.0000,0.5000,0.5224,0.3702,0.5000,0.0826,0.1096,0.0631,0.0814,0.1076,logs/combo_filters_midmetrics/peak_sim_ood_sim0.3_deg-1_ood0.5_ptb0.25.log
stable,all3,0.0,0.3,1,0.5,5,5,True,False,False,0.6442,0.0333,0.6567,0.0247,0.6567,0.0247,0.0000,0.0000,5278.0000,5278.0000,,,,,,,,,,,,,,,,,,,,,,0.6142,0.6744,0.6661,0.5943,0.6719,logs/combo_filters_midmetrics/stable_all3_sim0.3_deg1_ood0.5_ptb0.0.log
stable,deg_ood,0.0,-1.0,1,0.5,5,5,True,False,False,0.6500,0.0400,0.6641,0.0317,0.6641,0.0317,0.0000,0.0000,5278.0000,5278.0000,,,,,,,,,,,,,,,,,,,,,,0.5934,0.6869,0.6989,0.6175,0.6532,logs/combo_filters_midmetrics/stable_deg_ood_sim-1.0_deg1_ood0.5_ptb0.0.log
stable,sim_deg,0.0,0.3,1,-1.0,5,5,True,False,False,0.6556,0.0125,0.6584,0.0124,0.6584,0.0124,0.0000,0.0000,5278.0000,5278.0000,,,,,,,,,,,,,,,,,,,,,,0.6483,0.6441,0.6790,0.6574,0.6491,logs/combo_filters_midmetrics/stable_sim_deg_sim0.3_deg1_ood-1.0_ptb0.0.log
stable,sim_ood,0.0,0.3,-1,0.5,5,5,True,False,False,0.6441,0.0334,0.6566,0.0249,0.6566,0.0249,0.0000,0.0000,5278.0000,5278.0000,,,,,,,,,,,,,,,,,,,,,,0.6138,0.6748,0.6661,0.5943,0.6715,logs/combo_filters_midmetrics/stable_sim_ood_sim0.3_deg-1_ood0.5_ptb0.0.log
stable,all3,0.05,0.3,1,0.5,4,5,True,True,False,0.1572,0.0340,0.1734,0.0221,NaN,NaN,312.0000,19.0000,5278.0000,5571.0000,0.1078,0.8612,0.2613,,,,0.0720,0.7060,0.1894,0.1078,0.8612,0.2613,0.1953,0.1433,0.6450,0.0000,0.0000,0.5000,0.1597,0.1061,0.5001,0.1973,0.1790,0.1084,NaN,0.1441,logs/combo_filters_midmetrics/stable_all3_sim0.3_deg1_ood0.5_ptb0.05.log
stable,deg_ood,0.05,-1.0,1,0.5,5,5,True,False,False,0.2172,0.0492,0.2371,0.0323,0.2371,0.0323,312.0000,19.0000,5278.0000,5571.0000,0.1078,0.8612,0.2613,,,,0.0897,0.7129,0.2055,0.1078,0.8612,0.2613,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1597,0.1061,0.5001,0.2051,0.2724,0.1375,0.2662,0.2047,logs/combo_filters_midmetrics/stable_deg_ood_sim-1.0_deg1_ood0.5_ptb0.05.log
