bb,tag,ptb,sim,deg,ood,valid_seeds,num_seeds,complete,has_nan,has_traceback,mean,std,trim_mean_without_min,trim_std_without_min,reported_mean_without_min,reported_std_without_min,pollution_added_edges,pollution_deleted_edges,pollution_clean_edges,pollution_attack_edges,filter_module_f1,filter_module_auc,filter_module_ap,gppt_filter_f1,gppt_filter_auc,gppt_filter_ap,tau_tune_f1,tau_tune_auc,tau_tune_ap,out_detect_pt_edges_f1,out_detect_pt_edges_auc,out_detect_pt_edges_ap,sim_pt_node_f1,sim_pt_edge_f1,sim_pt_edge_auc,degree_pt_node_f1,degree_pt_edge_f1,degree_pt_edge_auc,out_detect_pt_node_f1,out_detect_pt_edge_f1,out_detect_pt_edge_auc,seed1,seed2,seed3,seed4,seed5,file
peak,deg_ood,0.25,-1.0,1,0.5,5,5,True,True,False,0.0533,0.0159,0.0570,0.0157,0.0570,0.0157,1507.0000,151.0000,5278.0000,6634.0000,,,,,,,,,,,,,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.5224,0.3702,0.5000,0.0839,0.0444,0.0486,0.0511,0.0386,logs/combo_filters_edge_auc_f1_diag/peak_deg_ood_sim-1.0_deg1_ood0.5_ptb0.25.log
peak,sim_deg,0.25,0.3,1,-1.0,5,5,True,True,False,0.0952,0.0134,0.1014,0.0053,0.1014,0.0053,1507.0000,151.0000,5278.0000,6634.0000,,,,,,,,,,,,,0.3676,0.4400,0.6261,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.0930,0.1071,0.0702,0.1009,0.1047,logs/combo_filters_edge_auc_f1_diag/peak_sim_deg_sim0.3_deg1_ood-1.0_ptb0.25.log
peak,sim_ood,0.25,0.3,-1,0.5,5,5,True,True,False,0.0937,0.0121,0.0978,0.0099,0.0978,0.0099,1507.0000,151.0000,5278.0000,6634.0000,,,,,,,,,,,,,0.3676,0.4400,0.6261,0.0000,0.0000,0.5000,0.5224,0.3702,0.5000,0.0835,0.0976,0.0988,0.0772,0.1113,logs/combo_filters_edge_auc_f1_diag/peak_sim_ood_sim0.3_deg-1_ood0.5_ptb0.25.log
stable,all3,0.0,0.3,1,0.5,5,5,True,False,False,0.6441,0.0333,0.6566,0.0246,0.6566,0.0246,0.0000,0.0000,5278.0000,5278.0000,,,,,,,,,,,,,,,,,,,,,,0.6142,0.6744,0.6661,0.5943,0.6715,logs/combo_filters_edge_auc_f1_diag/stable_all3_sim0.3_deg1_ood0.5_ptb0.0.log
stable,deg_ood,0.0,-1.0,1,0.5,5,5,True,False,False,0.6502,0.0405,0.6646,0.0320,0.6646,0.0320,0.0000,0.0000,5278.0000,5278.0000,,,,,,,,,,,,,,,,,,,,,,0.5930,0.6885,0.6989,0.6175,0.6532,logs/combo_filters_edge_auc_f1_diag/stable_deg_ood_sim-1.0_deg1_ood0.5_ptb0.0.log
stable,sim_deg,0.0,0.3,1,-1.0,5,5,True,False,False,0.6550,0.0113,0.6577,0.0110,0.6577,0.0110,0.0000,0.0000,5278.0000,5278.0000,,,,,,,,,,,,,,,,,,,,,,0.6483,0.6441,0.6757,0.6578,0.6491,logs/combo_filters_edge_auc_f1_diag/stable_sim_deg_sim0.3_deg1_ood-1.0_ptb0.0.log
stable,sim_ood,0.0,0.3,-1,0.5,5,5,True,False,False,0.6442,0.0332,0.6567,0.0245,0.6567,0.0245,0.0000,0.0000,5278.0000,5278.0000,,,,,,,,,,,,,,,,,,,,,,0.6146,0.6744,0.6661,0.5943,0.6715,logs/combo_filters_edge_auc_f1_diag/stable_sim_ood_sim0.3_deg-1_ood0.5_ptb0.0.log
stable,all3,0.05,0.3,1,0.5,5,5,True,True,False,0.1585,0.0209,0.1641,0.0196,0.1641,0.0196,312.0000,19.0000,5278.0000,5571.0000,,,,,,,,,,,,,0.1953,0.1433,0.6450,0.0000,0.0000,0.5000,0.1597,0.1061,0.5001,0.1366,0.1831,0.1358,0.1823,0.1545,logs/combo_filters_edge_auc_f1_diag/stable_all3_sim0.3_deg1_ood0.5_ptb0.05.log
stable,deg_ood,0.05,-1.0,1,0.5,5,5,True,True,False,0.2155,0.0343,0.2262,0.0300,0.2262,0.0300,312.0000,19.0000,5278.0000,5571.0000,,,,,,,,,,,,,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1597,0.1061,0.5001,0.1914,0.2537,0.1728,0.2583,0.2014,logs/combo_filters_edge_auc_f1_diag/stable_deg_ood_sim-1.0_deg1_ood0.5_ptb0.05.log
stable,sim_deg,0.05,0.3,1,-1.0,5,5,True,True,False,0.1605,0.0156,0.1656,0.0131,0.1656,0.0131,312.0000,19.0000,5278.0000,5571.0000,,,,,,,,,,,,,0.1953,0.1433,0.6450,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1400,0.1516,0.1557,0.1703,0.1848,logs/combo_filters_edge_auc_f1_diag/stable_sim_deg_sim0.3_deg1_ood-1.0_ptb0.05.log
stable,sim_ood,0.05,0.3,-1,0.5,5,5,True,True,False,0.1540,0.0385,0.1715,0.0179,0.1715,0.0179,312.0000,19.0000,5278.0000,5571.0000,,,,,,,,,,,,,0.1953,0.1433,0.6450,0.0000,0.0000,0.5000,0.1597,0.1061,0.5001,0.1636,0.1844,0.1919,0.1462,0.0839,logs/combo_filters_edge_auc_f1_diag/stable_sim_ood_sim0.3_deg-1_ood0.5_ptb0.05.log
stable,all3,0.1,0.3,1,0.5,5,5,True,True,False,0.1319,0.0163,0.1391,0.0085,0.1391,0.0085,610.0000,53.0000,5278.0000,5835.0000,,,,,,,,,,,,,0.2586,0.2437,0.6371,0.0000,0.0000,0.5000,0.2817,0.1893,0.5000,0.1292,0.1420,0.1337,0.1516,0.1030,logs/combo_filters_edge_auc_f1_diag/stable_all3_sim0.3_deg1_ood0.5_ptb0.1.log
stable,deg_ood,0.1,-1.0,1,0.5,5,5,True,True,False,0.1581,0.0300,0.1670,0.0269,0.1670,0.0269,610.0000,53.0000,5278.0000,5835.0000,,,,,,,,,,,,,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.2817,0.1893,0.5000,0.1873,0.1262,0.1599,0.1948,0.1221,logs/combo_filters_edge_auc_f1_diag/stable_deg_ood_sim-1.0_deg1_ood0.5_ptb0.1.log
stable,sim_deg,0.1,0.3,1,-1.0,5,5,True,True,False,0.1080,0.0113,0.1125,0.0075,0.1125,0.0075,610.0000,53.0000,5278.0000,5835.0000,,,,,,,,,,,,,0.2586,0.2437,0.6371,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1188,0.0897,0.1100,0.1200,0.1013,logs/combo_filters_edge_auc_f1_diag/stable_sim_deg_sim0.3_deg1_ood-1.0_ptb0.1.log
stable,sim_ood,0.1,0.3,-1,0.5,5,5,True,True,False,0.1262,0.0174,0.1336,0.0099,0.1336,0.0099,610.0000,53.0000,5278.0000,5835.0000,,,,,,,,,,,,,0.2586,0.2437,0.6371,0.0000,0.0000,0.5000,0.2817,0.1893,0.5000,0.1350,0.1462,0.1350,0.1184,0.0963,logs/combo_filters_edge_auc_f1_diag/stable_sim_ood_sim0.3_deg-1_ood0.5_ptb0.1.log
